variable;distribution;lower;median;upper;unit;description;timestep;Erledigt
risk_unfavorable_weather_tp1;tnorm_0_1;0.15;NA;0.25;%/100;;1;x
rotting_damage_tp3_tp4;tnorm_0_1;0.004;NA;0.0175;%/100;;3;
rotting_damage_tp4_harvest;tnorm_0_1;0.006;NA;0.07;%/100;;4;
rotting_risk_tp3_tp4;tnorm_0_1;0.5;NA;0.9;%/100;;3;
rotting_risk_tp4_harvest;tnorm_0_1;0.5;NA;0.9;%/100;;4;
sunburn_damage_climatizing_irrigation_tp3_tp4;tnorm_0_1;0.03;NA;0.2;%/100;Expertenschätzung;3;x
sunburn_damage_climatizing_irrigation_tp4_harvest;tnorm_0_1;0.03;NA;0.2;%/100;abgewandelte Expertenschätzung;4;x
sunburn_damage_hailnet_climatizing_irrigation_tp3_tp4;tnorm_0_1;0.01;NA;0.1;%/100;Expertenschätzung;3;x
sunburn_damage_hailnet_climatizing_irrigation_tp4_harvest;tnorm_0_1;0.01;NA;0.1;%/100;abgewandelte Expertenschätzung;4;x
sunburn_damage_hailnet_tp3_tp4;tnorm_0_1;0.02;NA;0.12;%/100;Expertenschätzung;3;x
sunburn_damage_hailnet_tp4_harvest;tnorm_0_1;0.02;NA;0.12;%/100;abgewandelte Expertenschätzung;4;x
sunburn_damage_tp3_tp4;tnorm_0_1;0.05;NA;0.3;%/100;Expertenschätzung;3;x
sunburn_damage_tp4_harvest;tnorm_0_1;0.05;NA;0.3;%/100;abgewandelte Expertenschätzung;4;x
sunburn_reduce_kaolin_tp3_tp4;tnorm_0_1;0.1;NA;0.8;%/100;Expertenschätzung;3;x
sunburn_reduce_kaolin_tp4_harvest;tnorm_0_1;0.08;NA;0.64;%/100;Expertenschätzung;4;x
sunburn_risk_climatizing_irrigation_tp3_tp4;tnorm_0_1;0.18;NA;0.4;%/100;Expertenschätzung;3;x
sunburn_risk_climatizing_irrigation_tp4_harvest;tnorm_0_1;0.144;NA;0.32;%/100;Expertenschätzung;4;x
sunburn_risk_hailnet_climatizing_irrigation_tp3_tp4;tnorm_0_1;0.15;NA;0.3;%/100;;3;
sunburn_risk_hailnet_climatizing_irrigation_tp4_harvest;tnorm_0_1;0.15;NA;0.3;%/100;;4;
sunburn_risk_hailnet_tp3_tp4;tnorm_0_1;0.2;NA;0.4;%/100;;3;
sunburn_risk_hailnet_tp4_harvest;tnorm_0_1;0.2;NA;0.4;%/100;;4;
sunburn_risk_tp3_tp4;tnorm_0_1;0.3;NA;0.8;%/100;Expertenschätzung;3;x
sunburn_risk_tp4_harvest;tnorm_0_1;0.24;NA;0.64;%/100;Expertenschätzung;4;x
thinner_efficiency_chemical_fruit_thinning;tnorm_0_1;0.15;NA;0.5;%/100;Pflanzenschutz RLP 2022 Seite 76;4;
timespan_tp1_harvest;posnorm;130;NA;150;days;Von der Blüte zur Ernte (sortenspezifisch!, Wert für Gala);;
timespan_tp1_tp2;posnorm;15;NA;20;days;Von der Büte bis zur Fruchtausdünnung;;
timespan_tp1_tp3;posnorm;28;NA;42;days;Von der Blüte bis zum Ende des Junifalls (4 bis 6 Wochen nach der Blüte);;
timespan_tp4_harvest;posnorm;25;NA;35;days;ca. 4 Wochen vor der Ernte;;
weekly_diameter_increase_tp2_tp3;posnorm;0.5;NA;0.6;cm;Epertenschätzung;;
weekly_diameter_increase_tp3_tp4;posnorm;0.3;NA;0.4;cm;Epertenschätzung;;
weekly_diameter_increase_tp4_harvest;posnorm;0.05;NA;0.1;cm;Epertenschätzung;;
weight_increase_change_overbearing;norm;-0.2;NA;-0.1;%/100;Epertenschätzung;2 und 3;
weight_increase_change_underbearing;norm;0.1;NA;0.5;%/100;Epertenschätzung;2 und 3;
weight_increase_reducing_factor_drought_tp3_tp4;tnorm_0_1;0.05;NA;0.8;%/100;Epertenschätzung;3;
weight_increase_reducing_factor_drought_tp4_harvest;tnorm_0_1;0.65;NA;0.8;%/100;Epertenschätzung;4;
weight_increase_reducing_factor_stress_tp2_tp3;tnorm_0_1;0.05;NA;0.95;%/100;Epertenschätzung;2;
percentage_tree_losses_tp1_tp2;tnorm_0_1;0.001;NA;0.025;%/100;eigene Schätzung;;
percentage_tree_losses_tp2_tp3;tnorm_0_1;0.001;NA;0.025;%/100;eigene Schätzung;;
percentage_tree_losses_tp3_tp4;tnorm_0_1;0.001;NA;0.025;%/100;eigene Schätzung;;
percentage_tree_losses_tp4_harvest;tnorm_0_1;0.001;NA;0.025;%/100;eigene Schätzung;;
risk_tree_losses_tp1_tp2;tnorm_0_1;0.01;NA;0.05;%/100;eigene Schätzung;;
risk_tree_losses_tp2_tp3;tnorm_0_1;0.05;NA;0.3;%/100;eigene Schätzung;;
risk_tree_losses_tp3_tp4;tnorm_0_1;0.05;NA;0.3;%/100;eigene Schätzung;;
risk_tree_losses_tp4_harvest;tnorm_0_1;0.01;NA;0.05;%/100;eigene Schätzung;;
